time_stamp, total time, scan point size, incremental time, search time, delete size, delete time, tree size st, tree size end, add point size, preprocess time
1758118349.23460007,0.26245947,12568,0.00277655,0.00000000,0,0.00000000,23489,23530,100,0.00249659
1758118349.33439994,0.23885575,12552,0.00112409,0.00000000,0,0.00000000,23530,23587,77,0.00277777
1758118349.43449998,0.28378941,12570,0.00189357,0.00000000,0,0.00000000,23587,23640,96,0.00332344
1758118349.63389993,0.23737991,12539,0.00094518,0.00000000,0,0.00000000,23640,23659,35,0.00250908
1758118349.83430004,0.21680247,12551,0.00088623,0.00000000,0,0.00000000,23659,23678,39,0.00209916
1758118349.93460011,0.24244900,12562,0.00214104,0.00000000,0,0.00000000,23678,23753,113,0.00263462
1758118350.03419995,0.25129612,12600,0.00389697,0.00000000,0,0.00000000,23753,23836,127,0.00254597
1758118350.33500004,0.27012705,12612,0.00430719,0.00000000,0,0.00000000,23836,24143,427,0.00218639
1758118350.43499994,0.24965028,12603,0.00153751,0.00000000,0,0.00000000,24143,24191,62,0.00401087
1758118350.53430009,0.23193458,12600,0.00089495,0.00000000,0,0.00000000,24191,24250,68,0.00271756
1758118350.73440003,0.33617214,12619,0.01237988,0.00000000,0,0.00000000,24250,24832,957,0.00250502
1758118350.83430004,0.35573719,12581,0.00822807,0.00000000,0,0.00000000,24832,25224,677,0.00271482
1758118351.23399997,0.37099189,12550,0.00780405,0.00000000,0,0.00000000,25224,25620,805,0.00277486
1758118351.33410001,0.36834570,12558,0.00975969,0.00000000,0,0.00000000,25620,25701,583,0.00207200
1758118351.43409991,0.32493301,12522,0.00830997,0.00000000,0,0.00000000,25701,25944,512,0.00205836
1758118351.53410006,0.39672813,12506,0.00720266,0.00000000,0,0.00000000,25944,26295,594,0.00249362
1758118351.63400006,0.24826173,12462,0.00201380,0.00000000,0,0.00000000,26295,26365,107,0.00330097
1758118351.73410010,0.32254809,12437,0.00453914,0.00000000,0,0.00000000,26365,26042,505,0.00396229
1758118351.83410001,0.33485310,12474,0.00335198,0.00000000,0,0.00000000,26042,26547,578,0.00240533
1758118351.93409991,0.29116218,12432,0.00343456,0.00000000,0,0.00000000,26547,26888,421,0.00285638
1758118352.03410006,0.31606699,12424,0.00475171,0.00000000,0,0.00000000,26888,27194,440,0.00226360
